"","AirPollutionLevel","Longitude","Latitude","Zone"
"157",45.816667,13.245,43.5269,"Center"
"158",45.8,8.94639,44.5728,"North"
"159",45.1,12.9189,43.8933,"Center"
"160",45,10.7914,44.5394,"North"
"161",45,12.237,41.7682,"Center"
"162",45,12.4694,41.8642,"Center"
"163",45,12.6069,41.7978,"Center"
"164",45,8.3103,44.808,"North"
"165",45,11.3283,44.4997,"North"
"166",45,11.0069,43.9161,"Center"
"167",45,12.0564,44.215,"North"
"168",45,13.3503,38.111,"South"
"169",45,9.66917,45.0383,"North"
"170",44.741667,14.2513,40.8542,"South"
"171",44.6,14.2545,40.8637,"South"
"172",44.469583,16.7878,41.1144,"South"
"173",44.200001,9.39583,45.8494,"North"
"174",44,7.8146,44.4018,"North"
"175",44,13.3233,41.6389,"Center"
"176",44,10.5122,43.8439,"Center"
"177",44,8.6206,45.4383,"North"
"178",44,12.5489,41.9103,"Center"
"179",44,12.5417,41.8861,"Center"
"180",43.935299,8.83449,45.5829,"North"
"181",43.9226,9.22278,45.8094,"North"
"182",43.91119,14.0472,41.4842,"Center"
"183",43.400002,8.82028,45.8169,"North"
"184",43.3,15.2862,37.0913,"South"
"185",43.299999,9.39583,45.8494,"North"
"186",43.1,9.115,39.2358,"South"
"187",43,12.6664,42.7433,"Center"
"188",43,11.1779,44.9278,"North"
"189",43,12.3322,44.2839,"North"
"190",43,11.1053,43.8747,"Center"
"191",43,12.5686,41.8578,"Center"
"192",42.5,9.13639,39.2606,"South"
"193",42.5,14.1225,40.8229,"South"
"194",42,11.4539,46.0518,"North"
"195",42,11.1102,46.1043,"North"
"196",42,8.4157,45.8988,"North"
"197",42,12.0489,44.2192,"North"
"198",42,12.2392,44.1392,"North"
"199",42,11.2861,44.5,"North"
"200",41.9,15.2853,37.0678,"South"
"201",41.88,18.0951,40.3463,"South"
"202",41.8,13.3875,43.6333,"Center"
"203",41.4,14.259,37.0687,"South"
"204",41.29,17.9645,40.4185,"South"
"205",41.0875,13.5086,43.6117,"Center"
"206",41,11.3686,45.7144,"North"
"207",41,11.11,42.7625,"Center"
"208",41,13.0044,41.7308,"Center"
"209",41,8.1876,45.569,"North"
"210",41,10.7717,43.7131,"Center"
"211",41,11.9611,44.8397,"North"
"212",41,11.4669,43.623,"Center"
"213",41,10.5005,43.8328,"Center"
"214",41,12.5089,41.8831,"Center"
"215",41,11.6394,44.6622,"North"
"216",41,10.5599,44.0055,"North"
"217",41,14.2131,42.4664,"Center"
"218",40.9,12.6559,45.9626,"North"
"219",40.599998,9.88028,46.1686,"North"
"220",40.59826,8.99583,39.2269,"South"
"221",40.4,17.8083,40.5656,"South"
"222",40.2,7.32306,45.7331,"North"
"223",40.2,14.8246,40.8355,"South"
"224",40,11.0919,43.8728,"Center"
"225",40,12.5533,44.0625,"North"
"226",40,11.4164,44.4722,"North"
"227",40,12.3661,43.1031,"Center"
"228",40,8.2921,46.1276,"North"
"229",40,11.7203,44.3556,"North"
"230",40,11.8767,43.4625,"Center"
"231",40,14.2347,42.4564,"Center"
"232",40,12.5336,41.9478,"Center"
"233",39.79999,15.0972,37.5158,"South"
"234",39.7,13.7838,45.6206,"North"
"235",39.7,12.6187,45.9577,"North"
"236",39.63,16.8733,41.1233,"South"
"237",39.5,9.87056,46.1672,"North"
"238",39.41,8.28056,44.3824,"North"
"239",39.400002,9.56639,46.1317,"North"
"240",39.2,16.6083,38.869,"South"
"241",39,14.1483,42.5175,"Center"
"242",39,11.355,44.4833,"North"
"243",39,12.3081,45.8906,"North"
"244",39,12.4697,41.9475,"Center"
"245",39,12.4753,41.8939,"Center"
"246",38.954387,13.2621,45.8108,"North"
"247",38.6,8.38611,39.2033,"South"
"248",38.29999,14.2842,37.0622,"South"
"249",38.27,16.8881,41.1136,"South"
"250",38.11,8.96806,44.4049,"North"
"251",38,14.1378,42.3461,"Center"
"252",38,7.5602,45.1758,"North"
"253",38,14.4411,42.1417,"Center"
"254",38,13.7094,42.6572,"Center"
"255",38,11.8734,44.2856,"North"
"256",38,8.1695,44.4122,"North"
"257",38,8.4584,45.6894,"North"
"258",38,11.2314,43.7858,"Center"
"259",38,12.4475,41.9064,"Center"
"260",38,10.4106,43.7139,"Center"
"261",37.91,16.194,39.7138,"South"
"262",37.813747,13.2714,45.822,"North"
"263",37.7,15.0108,37.5157,"South"
"264",37.6,15.1909,37.1561,"South"
"265",37.476,15.5465,38.1743,"South"
"266",37.3,14.9758,40.6111,"South"
"267",37,8.28389,44.3833,"North"
"268",37,7.5382,44.3818,"North"
"269",37,8.2835,45.7132,"North"
"270",37,9.83028,44.8239,"North"
"271",37,11.0978,43.7931,"Center"
"272",37,12.8917,41.4511,"Center"
"273",36.9,8.29861,44.375,"North"
"274",36.89455,8.60528,39.8853,"South"
"275",36.774868,13.302,45.8421,"North"
"276",36.59,16.2314,39.075,"South"
"277",36.54,16.605,41.2003,"South"
"278",36.5,8.57611,40.7244,"South"
"279",36.42,16.2917,41.2317,"South"
"280",36.21,18.0297,40.4044,"South"
"281",36.208333,13.3419,43.5989,"Center"
"282",36.2,17.0103,39.1875,"South"
"283",36.1416,9.18806,39.2328,"South"
"284",36.09999,13.0669,46.221,"North"
"285",36.09,16.2433,39.3389,"South"
"286",36,12.5069,41.9328,"Center"
"287",36,13.5703,41.2231,"South"
"288",36,12.9131,41.4639,"Center"
"289",36,12.4419,43.0889,"Center"
"290",36,10.245,43.8839,"Center"
"291",35.983333,15.2476,38.2315,"South"
"292",35.975,14.3447,41.0844,"South"
"293",35.85603,8.39,39.2086,"South"
"294",35.63,17.1142,39.0681,"South"
"295",35.327083,16.7661,41.1078,"South"
"296",35.320545,13.2297,46.0708,"North"
"297",35.31,8.91194,44.4139,"North"
"298",35.3,8.36028,40.815,"South"
"299",35.24621,9.01139,39.2864,"South"
"300",35.2,14.8361,41.1469,"South"
"301",35.14,8.43889,44.2725,"North"
"302",35,11.7981,42.0994,"Center"
"303",35,12.7264,41.9956,"Center"
"304",35,12.2128,46.1438,"North"
"305",35,12.9461,41.5314,"Center"
"306",34.9,13.4233,45.7995,"North"
"307",34.88,17.9478,40.6342,"South"
"308",34.5,13.7803,45.6242,"North"
"309",34.2,16.2552,38.2298,"South"
"310",34.05,17.2258,40.4886,"South"
"311",34,12.6536,41.5953,"Center"
"312",34,11.1928,43.7569,"Center"
"313",34,12.5764,43.3528,"Center"
"314",34,12.8583,42.4042,"Center"
"315",34,11.7883,42.0971,"Center"
"316",34,10.2889,44.6575,"North"
"317",34,12.6592,41.9314,"Center"
"318",34,12.345,41.8756,"Center"
"319",34,13.2407,46.0661,"North"
"320",33.9775,8.29011,44.3653,"North"
"321",33.75,18.1731,40.3644,"South"
"322",33.67925,8.98389,39.2383,"South"
"323",33.570833,16.7817,41.0872,"South"
"324",33.42,16.8453,41.1347,"South"
"325",33.37,17.3319,40.7008,"South"
"326",33.25,16.2861,41.3167,"South"
"327",33.2,15.5478,41.4539,"Center"
"328",33.09999,15.0811,37.5293,"South"
"329",33.09,16.0983,38.6758,"South"
"330",33.048427,13.3934,45.9733,"North"
"331",33.021725,13.756,45.6423,"North"
"332",33,10.8445,45.8915,"North"
"333",33,7.32965,45.7307,"North"
"334",33,10.3297,43.5547,"Center"
"335",33,16.8597,41.1006,"South"
"336",32.99,16.2952,38.9596,"South"
"337",32.899164,13.7889,45.6544,"North"
"338",32.79,16.3868,39.4896,"South"
"339",32.62,16.2452,39.3134,"South"
"340",32.53966,8.59472,39.9092,"South"
"341",32.51,16.5468,39.6518,"South"
"342",32.4,15.2205,37.2184,"South"
"343",32.4,9.01528,39.4436,"South"
"344",32.2,9.50167,40.9283,"South"
"345",32.09,15.6452,38.1059,"South"
"346",32.079167,12.6364,43.7306,"Center"
"347",32.07,8.47722,44.3131,"North"
"348",32.03,18.1767,40.3519,"South"
"349",32.02,18.1161,40.4589,"South"
"350",32,7.76643,45.5966,"North"
"351",32,12.42,44.0131,"North"
"352",32,7.32965,45.7343,"North"
"353",32,11.8889,43.4611,"Center"
"354",32,12.2234,41.7748,"Center"
"355",32,13.1497,41.75,"Center"
"356",32,12.4132,42.3018,"Center"
"357",32,8.0564,45.5588,"North"
"358",32,11.1262,46.0629,"North"
"359",32,10.4017,43.7389,"Center"
"360",31.98,16.9197,40.9533,"South"
"361",31.95,8.48556,44.3153,"North"
"362",31.9,9.01667,39.07,"South"
