"","AirPollutionLevel","Longitude","Latitude","Zone"
"1",27.09756,11.8419,45.3719,"North"
"2",26.692689,9.86417,45.2847,"North"
"3",25.58757,12.2056,45.4383,"North"
"4",25.567877,10.0458,45.1422,"North"
"5",24.966966,7.69534,45.1041,"North"
"6",24.945507,10.2194,45.5153,"North"
"7",24.663888,11.7833,45.0747,"North"
"8",24.445983,11.5397,45.5606,"North"
"9",24.272254,9.61472,45.6439,"North"
"10",24.12784,7.7782,45.1432,"North"
"11",24.006097,9.27444,45.5811,"North"
"12",23.887052,12.2622,45.4992,"North"
"13",23.743034,10.1775,45.8739,"North"
"14",23.71983,9.49529,45.3028,"North"
"15",23.317177,9.16472,45.1939,"North"
"16",23.226123,9.08361,45.8044,"North"
"17",23.164556,7.4262,44.7197,"North"
"18",22.866261,11.5219,45.5319,"North"
"19",22.773947,7.6259,45.0419,"North"
"20",22.692311,9.19806,45.4697,"North"
"21",22.555516,9.23583,45.4783,"North"
"22",22.529411,10.5739,43.8408,"Center"
"23",22.44164,12.6236,42.5819,"Center"
"24",22.406557,8.0434,45.2948,"North"
"25",22.35561,10.6919,45.4108,"North"
"26",22.167582,8.6232,44.9203,"North"
"27",22.156868,9.23639,45.5339,"North"
"28",22.134285,12.6517,42.5522,"Center"
"29",22.120171,9.46667,45.6833,"North"
"30",22.111782,7.8375,45.0028,"North"
"31",22.088068,7.658,45.1546,"North"
"32",21.909333,10.7956,45.1606,"North"
"33",21.881341,9.40619,45.698,"North"
"34",21.692063,12.5219,42.5342,"Center"
"35",21.55182,10.0192,44.9894,"North"
"36",21.50163,16.0702,38.3999,"South"
"37",21.410447,11.0708,44.9969,"North"
"38",21.407407,7.6491,45.0249,"North"
"39",21.326197,9.64389,45.6903,"North"
"40",21.287304,8.90556,45.1017,"North"
"41",21.205655,10.0167,45.1328,"North"
"42",21.195845,12.2386,45.6725,"North"
"43",21.09469,9.55639,45.4975,"North"
"44",20.915966,12.3081,45.8906,"North"
"45",20.880681,12.6508,42.56,"Center"
"46",20.856257,10.2236,45.5408,"North"
"47",20.80913,18.0536,40.4881,"South"
"48",20.554317,9.66917,45.0383,"North"
"49",20.549019,11.0301,45.433,"North"
"50",20.083612,12.6664,42.7433,"Center"
"51",19.586111,10.6647,44.6908,"North"
"52",19.485714,12.2256,44.42,"North"
"53",19.430199,11.3686,45.7144,"North"
"54",19.309192,13.3233,41.6389,"Center"
"55",19.305637,8.3103,44.808,"North"
"56",19.236547,14.3411,40.8643,"South"
"57",19.188253,9.02417,45.6269,"North"
"58",19.186575,8.82028,45.8169,"North"
"59",19.165644,7.878,45.4512,"North"
"60",19.139941,10.6639,44.8731,"North"
"61",18.822192,9.115,39.2358,"South"
"62",18.800569,10.3317,44.7936,"North"
"63",18.77591,11.6658,45.2267,"North"
"64",18.757062,10.7339,44.5161,"North"
"65",18.492074,9.88028,46.1686,"North"
"66",18.467605,10.7914,44.5394,"North"
"67",18.394285,11.9611,44.8397,"North"
"68",18.35549,9.59139,45.5183,"North"
"69",18.233333,8.4024,45.3189,"North"
"70",18.181818,11.9058,46.0308,"North"
"71",18.137931,12.2458,43.4569,"Center"
"72",18.041666,11.3283,44.4997,"North"
"73",18.023823,14.3895,40.9209,"South"
"74",17.974576,12.7078,42.9517,"Center"
"75",17.949152,11.0069,43.9161,"Center"
"76",17.876097,9.48556,45.3053,"North"
"77",17.77591,10.9063,44.6506,"North"
"78",17.733333,8.6206,45.4383,"North"
"79",17.505555,12.5917,45.6303,"North"
"80",17.306818,11.1779,44.9278,"North"
"81",17.253443,7.8146,44.4018,"North"
"82",17.146274,17.5125,40.6492,"South"
"83",17.074792,11.7367,45.7608,"North"
"84",16.891118,18.0297,40.4044,"South"
"85",16.817064,14.2987,40.9146,"South"
"86",16.768996,12.4025,44.0958,"North"
"87",16.746312,12.3661,43.1031,"Center"
"88",16.694897,16.7661,41.1078,"South"
"89",16.685344,18.0472,40.4894,"South"
"90",16.673391,8.28389,44.3833,"North"
"91",16.657381,11.6497,44.825,"North"
"92",16.631284,11.6394,44.6622,"North"
"93",16.618953,8.28056,44.3824,"North"
"94",16.588957,12.5533,44.0625,"North"
"95",16.544152,14.7855,40.9188,"South"
