"","AirPollutionLevel","Longitude","Latitude","Zone"
"440",12.972298,7.76643,45.5966,"North"
"441",12.853421,18.0472,40.4894,"South"
"442",12.674835,8.79417,39.5467,"South"
"443",12.666892,13.4747,46.5101,"North"
"444",12.659398,12.6364,43.7306,"Center"
"445",12.519977,14.2347,42.4564,"Center"
"446",12.463247,10.5599,44.0055,"North"
"447",12.442705,15.1909,37.1561,"South"
"448",12.28818,11.8093,42.0818,"Center"
"449",12.287533,15.7227,41.0671,"South"
"450",12.249786,10.5242,42.9319,"Center"
"451",12.242817,11.9611,44.8397,"North"
"452",12.1427,16.0702,38.3999,"South"
"453",12.119748,14.1483,42.5175,"Center"
"454",12.091847,8.3103,44.808,"North"
"455",12.03591,9.83889,44.0647,"North"
"456",12.003377,16.2952,38.9596,"South"
"457",11.999072,14.8246,40.8355,"South"
"458",11.969989,13.4233,45.7995,"North"
"459",11.941431,8.29861,44.375,"North"
"460",11.87012,11.6394,44.6622,"North"
"461",11.861597,7.4262,44.7197,"North"
"462",11.801597,12.5572,43.3583,"Center"
"463",11.792166,18.125,40.4033,"South"
"464",11.742237,14.1975,42.4519,"Center"
"465",11.698966,7.5602,45.1758,"North"
"466",11.587669,11.9058,46.0308,"North"
"467",11.3793,8.59778,39.8989,"South"
"468",11.340292,8.57611,40.7244,"South"
"469",11.33403,15.945,41.6653,"Center"
"470",11.226695,15.2476,38.2315,"South"
"471",11.14742,14.1794,40.7989,"South"
"472",11.099315,14.1036,41.7794,"Center"
"473",11.034167,18.0297,40.4044,"South"
"474",10.971118,13.7261,42.6656,"Center"
"475",10.958562,17.9436,40.6508,"South"
"476",10.883067,8.99583,39.2269,"South"
"477",10.744715,16.5792,38.9183,"South"
"478",10.725968,16.5468,39.6518,"South"
"479",10.615905,8.98389,39.2383,"South"
"480",10.605627,12.5219,42.5342,"Center"
"481",10.518467,9.01667,39.07,"South"
"482",10.506754,17.8083,40.5656,"South"
"483",10.434224,12.4681,43.0669,"Center"
"484",10.434023,12.2664,41.8894,"Center"
"485",10.404618,12.7133,42.7447,"Center"
"486",10.393574,17.9781,40.6203,"South"
"487",10.36647,9.86583,44.1286,"North"
"488",10.366265,17.2536,40.5211,"South"
"489",10.349672,10.4536,43.8689,"Center"
"490",10.33482,12.6117,43.2739,"Center"
"491",10.305082,9.0524,44.7633,"North"
"492",10.299912,8.1598,45.6642,"North"
"493",10.278359,16.5484,40.4204,"South"
"494",10.118637,9.00889,39.0667,"South"
"495",10.003169,17.2253,40.4233,"South"
"496",9.963159,11.8177,42.0989,"Center"
"497",9.931813,15.64,40.9841,"South"
"498",9.925806,9.79861,44.1236,"North"
"499",9.806267,18.1736,40.1681,"South"
"500",9.482266,14.2238,37.0757,"South"
