"","AirPollutionLevel","Longitude","Latitude","Zone"
"150",124.356278,8.86889,45.0683,"North"
"151",124.27625,18.0951,40.3463,"South"
"152",124.06,8.48556,44.3153,"North"
"153",124.0075,17.4239,40.5378,"South"
"154",123.972397,15.1288,37.1824,"South"
"155",123.75,11.1134,46.1968,"North"
"156",123.3075,9.89778,44.1831,"North"
"157",123.25,10.8817,43.2478,"Center"
"158",123,12.6275,43.9328,"Center"
"159",122.881439,14.2089,41.7594,"Center"
"160",122.75,12.5417,41.8861,"Center"
"161",122.625,11.8734,44.2856,"North"
"162",122.375,6.97778,45.7292,"North"
"163",122.375,7.7116,45.1763,"North"
"164",122.375,11.0069,43.9161,"Center"
"165",122.25,13.6744,41.67,"Center"
"166",122.25,11.5533,45.1039,"North"
"167",122.16625,16.9197,40.9533,"South"
"168",122.153185,13.5431,45.843,"North"
"169",121.9375,14.8361,41.1469,"South"
"170",121.875,12.4017,43.9081,"Center"
"171",121.625,11.9086,42.1578,"Center"
"172",121.575,11.342,46.4992,"North"
"173",121.25,7.32965,45.7343,"North"
"174",121.16625,16.2345,38.3909,"South"
"175",121.1375,13.4286,43.285,"Center"
"176",121,7.5382,44.3818,"North"
"177",120.95875,15.8117,40.6254,"South"
"178",120.94125,15.9548,40.3156,"South"
"179",120.76125,15.8914,40.2884,"South"
"180",120.75,8.2921,46.1276,"North"
"181",120.543129,14.2815,37.5641,"South"
"182",120.2625,14.9758,40.6111,"South"
"183",120.125,8.2559,46.3148,"North"
"184",120.1075,15.8729,40.6439,"South"
"185",119.875,8.1598,45.6642,"North"
"186",119.8625,12.5764,43.3528,"Center"
"187",119.8,12.9522,43.4681,"Center"
"188",119.5,11.6658,45.2267,"North"
"189",119.375,11.9017,43.6603,"Center"
"190",119.365,17.9436,40.6508,"South"
"191",119.277814,13.4747,46.5101,"North"
"192",119.25,11.8889,43.4611,"Center"
"193",119.125,12.2664,41.8894,"Center"
"194",118.607825,13.4233,45.7995,"North"
"195",118.48875,17.2839,40.4119,"South"
"196",118.4125,13.6747,43.3356,"Center"
"197",118.25,11.7426,42.16,"Center"
"198",118.25,11.6497,44.825,"North"
"199",118.071429,14.2545,40.8637,"South"
"200",118.017143,16.5484,40.4204,"South"
"201",118,9.36693,44.7347,"North"
"202",117.986526,13.7875,45.6232,"North"
"203",117.904681,10.3725,46.4703,"North"
"204",117.875,12.0619,45.0467,"North"
"205",117.575,14.3493,40.8159,"South"
"206",117.45,13.6194,42.8486,"Center"
"207",117.3375,12.1367,42.7372,"Center"
"208",117.25,12.3608,46.1625,"North"
"209",117.05625,16.6692,38.8705,"South"
"210",116.70875,15.7876,41.046,"South"
"211",116.64,9.79861,44.1236,"North"
"212",116.62125,16.5471,40.6867,"South"
"213",116.475,13.3419,43.5989,"Center"
"214",115.89125,18.1736,40.1681,"South"
"215",115.335714,15.7227,41.0671,"South"
"216",115.14875,15.9007,40.3349,"South"
"217",115.05875,16.2861,41.3167,"South"
"218",114.875,7.2454,45.4302,"North"
"219",114.851701,14.6747,41.5542,"Center"
"220",114.428875,9.0325,40.2372,"South"
"221",114.25,12.6592,41.9314,"Center"
"222",114.125,7.29889,45.7303,"North"
"223",114.125,12.5069,41.9328,"Center"
"224",114.02787,13.5011,45.8364,"North"
"225",114,12.345,41.8756,"Center"
"226",113.757143,14.8045,40.6614,"South"
"227",113.675,14.78,41.1157,"South"
"228",113.6625,15.2476,38.2315,"South"
"229",113.625,10.4017,43.7389,"Center"
"230",113.525,16.0802,38.6646,"South"
"231",113.375,12.5686,41.8578,"Center"
"232",112.771429,14.3781,41.0459,"South"
"233",112.75,7.32417,45.7358,"North"
"234",112.728333,16.4962,40.4858,"South"
"235",112.61625,16.5792,38.9183,"South"
"236",112.3375,13.5086,43.6117,"Center"
"237",112.302857,9.21639,39.8425,"South"
"238",112.125,13.3233,41.6389,"Center"
"239",111.75,12.9619,42.5725,"Center"
"240",111.63,15.4408,41.5467,"Center"
"241",111.475,8.92737,44.4181,"North"
"242",111.375,12.5336,41.9478,"Center"
"243",111.33375,16.2452,39.3134,"South"
"244",111.27125,16.8453,41.1347,"South"
"245",111,10.4303,44.2997,"North"
"246",110.875,7.4262,44.7197,"North"
"247",110.75,12.8583,42.4042,"Center"
"248",110.75,8.2835,45.7132,"North"
"249",110.6925,17.2253,40.4233,"South"
"250",110.585,15.9046,40.3141,"South"
"251",110.3375,11.944,46.7974,"North"
"252",110.214286,15.64,40.9841,"South"
"253",110.125,13.5703,41.2231,"South"
